,SF ID,Dealer ID,Account Creation Date,Account Name,Mailing State,No. of Employees,Residential HVAC Sales Per Year,Years in Business,HVAC Brand #1,HVAC Brand #2,CEL MKT,Currently offers Consumer Financing?,# of Apps 2017,# of Apps 2018,# of Apps 2019,NumofQuotes,NumofQuotes_Approved,NumofQuotes_Declined,NumofQuotes_Funded,Approve_Rate,Decline_Rate,Fund_Rate,Latency_days,quoteCreditScore
67,001U000001cEOD1,A09434,2016-01-13,"Stuart Service, Inc",TN,5,"100,000-499,999",-,WESTINGHOUSE,Bryant,-,Yes,0,0,0,,,,,,,,,
68,001U000001cEOLW,A09437,2016-01-13,"Marcus Mechanical, LLC",OH,1,"0-99,999",-,WESTINGHOUSE,Ducane,-,No,0,0,0,,,,,,,,,
69,001U000001cENan,C124537,2016-01-13,Premier Air Concepts,OH,1,-,-,WESTINGHOUSE,-,-,-,0,0,0,,,,,,,,,
70,001U000001cER53,C15344,2016-01-13,Honest Appliance / HVAC Repair LLC,IL,6,"100,000-499,999",8,Carrier,Trane,-,No,0,0,0,3.0,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,159.15470930941356,630.0
71,001U000001cER6a,C15345,2016-01-13,Marty's Heating and Cooling,NY,2,"100,000-499,999",-,Goodman,-,-,No,0,0,0,,,,,,,,,
72,001U000001cERCx,C15346,2016-01-13,"Oregon Heating & Air Conditioning, LLC",OR,34,"1,000,000-2,499,999",-,Coleman,Trane,-,Yes,0,0,0,,,,,,,,,
73,001U000001cERGB,C15347,2016-01-13,"Vinylume Products, Inc.",OH,33,"0-99,999",-,-,-,-,No,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,686.3260426736111,740.0
74,001U000001cVueB,C15349,2016-01-14,Aaahh Home Services LLC,AZ,1,"100,000-499,999",-,Air Temp,American Standard,-,No,13,9,19,55.0,5.0,34.0,16.0,0.09090909090909091,0.6181818181818182,0.2909090909090909,767.4224316889731,601.9272727272727
75,001U000001cVqTh,C15350,2016-01-14,Oasis A/C Services,LA,2,"0-99,999",-,Heil,Carrier,-,No,0,2,1,5.0,1.0,2.0,2.0,0.2,0.4,0.4,686.1816915995371,555.4
76,001U000001cVuf9,C15351,2016-01-14,Cool-Rite Heating & AC Inc.,GA,2,"100,000-499,999",-,Day &amp; Night,Rheem,-,No,0,0,0,,,,,,,,,
77,001U000001cVugl,C15352,2016-01-14,"Current, Inc",MO,18,"500,000-999,999",30,York,WaterFurnace,-,No,10,7,8,32.0,4.0,16.0,12.0,0.125,0.5,0.375,706.1505640556277,614.21875
78,001U000001cVsdg,C15353,2016-01-14,Comfort Air Heating and Cooling LLC,TN,2,"100,000-499,999",-,Carrier,American Standard,-,No,12,1,0,23.0,3.0,9.0,11.0,0.13043478260869565,0.391304347826087,0.4782608695652174,395.63158458584945,642.6521739130435
79,001U000001cVui8,C15354,2016-01-14,Xelor Air and Heat,FL,2,"0-99,999",7,Lenox,Rheem,-,No,2,0,0,5.0,3.0,1.0,1.0,0.6,0.2,0.2,357.1231692523148,661.6
80,001U000001cWPuM,C15355,2016-01-15,Elite Mechanical,NC,8,"500,000-999,999",-,Trane,Goodman,-,No,10,16,6,52.0,9.0,24.0,19.0,0.17307692307692307,0.46153846153846156,0.36538461538461536,597.2009656054131,653.1730769230769
81,001U000001cWQ15,C15356,2016-01-15,Frank's Heating and Air Conditioning,OH,1,"0-99,999",-,Ducane,Luxaire,-,Yes,2,5,0,10.0,1.0,4.0,5.0,0.1,0.4,0.5,636.4283886921296,606.1
82,001U000001cX8AF,C15357,2016-01-18,Bayou Side AC & Heating,LA,2,"100,000-499,999",-,Ruud,Amana,-,No,1,4,7,27.0,5.0,9.0,13.0,0.18518518518518517,0.3333333333333333,0.48148148148148145,543.7987330564129,645.6666666666666
83,001U000001cX8BS,C15358,2016-01-18,Byrd's Heating & Air Conditioning,LA,1,"100,000-499,999",-,Trane,Carrier,-,No,3,2,1,13.0,0.0,3.0,10.0,0.0,0.23076923076923078,0.7692307692307693,478.00474334668803,658.3846153846154
84,001U000001cX8Cf,C15359,2016-01-18,"Cool Tech, LLC",LA,1,"100,000-499,999",2,Ruud,-,-,No,0,0,0,5.0,0.0,2.0,3.0,0.0,0.4,0.6,119.26461950462962,698.4
85,001U000001cX8DT,C15360,2016-01-18,D D Mechanical Services,TX,11,"500,000-999,999",-,Ruud,Trane,-,Yes,21,8,8,55.0,11.0,15.0,29.0,0.2,0.2727272727272727,0.5272727272727272,528.3761916576179,691.4545454545455
86,001U000001cX8Eq,C15361,2016-01-18,G. R. Metro Heating & Cooling LLC,MI,3,"100,000-499,999",1,Goodman,-,-,No,4,2,0,12.0,0.0,5.0,7.0,0.0,0.4166666666666667,0.5833333333333334,472.505557044753,661.3333333333334
87,001U000001cX8G3,C15362,2016-01-18,J&J Cooling & Heating,LA,4,"0-99,999",25,Ruud,Trane,-,No,0,0,0,2.0,1.0,1.0,0.0,0.5,0.5,0.0,181.14184122106482,737.5
